GEMEENTE,TOTAAL-BEVOLKING,OPPERVLAKTE,GEMIDDELDE-BEVOLKINGSDICHTHEID-PER-KM2
LICHTERVELDE,8512,25931415,328
MOORSLEDE,10925,35341058,309
ROESELARE,58823,59793935,984
STADEN,10951,46240034,237
DENTERGEM,8339,25935511,322
MEULEBEKE,11086,29348057,378
OOSTROZEBEKE,7556,16621841,455
PITTEM,6763,34421545,196
RUISELEDE,5174,30201523,171
TIELT,19922,68504357,291
WIELSBEKE,9188,21760376,422
WINGENE,13949,68420735,204
ARDOOIE,9088,34576094,263
ALVERINGEM,4990,80009790,62
DE PANNE,10748,23896896,450
KOKSIJDE,22153,43959624,504
NIEUWPOORT,11368,31004430,367
VEURNE,11516,96339703,120
AALST,81853,78115427,1048
DENDERLEEUW,19069,13773684,1384
GERAARDSBERGEN,32629,79714473,409
HAALTERT,17709,30300608,584
HERZELE,17224,47400000,363
LEDE,18030,29685182,607
NINOVE,37295,72574056,514
SINT-LIEVENS-HOUTEM,9985,26667187,374
ZOTTEGEM,25398,56654962,448
ERPE-MERE,19475,34032684,572
BERLARE,14690,37819725,388
BUGGENHOUT,14237,25253403,564
DENDERMONDE,44484,55674674,799
HAMME,24436,40214078,608
LAARNE,12290,32066001,383
LEBBEKE,18397,26916456,683
WAASMUNSTER,10558,31925699,331
WETTEREN,24130,36677072,658
WICHELEN,11374,22865662,497
ZELE,20762,33057141,628
ASSENEDE,13942,87224667,160
EEKLO,20274,30046064,675
KAPRIJKE,6318,33705054,187
MALDEGEM,23126,94643577,244
SINT-LAUREINS,6640,74500253,89
ZELZATE,12491,13705457,911
AALTER,19860,81920371,242
DEINZE,29724,75534971,394
DE PINTE,10204,17984250,567
DESTELBERGEN,17685,26564680,666
EVERGEM,33692,75039636,449
GAVERE,12529,31345912,400
GENT,248242,156181130,1589
KNESSELARE,8216,37274013,220
LOCHRISTI,21779,60344095,361
LOVENDEGEM,9469,19480849,486
MELLE,11016,15213215,724
MERELBEKE,23505,36646854,641
MOERBEKE,6162,37800225,163
NAZARETH,11351,35192619,323
NEVELE,11908,51894705,229
OOSTERZELE,13420,43116866,311
SINT-MARTENS-LATEM,8378,14343902,584
WAARSCHOOT,7980,21908691,364
WACHTEBEKE,7282,34532932,211
ZOMERGEM,8214,38781483,212
ZULTE,15288,32523543,470
KRUISHOUTEM,8117,46755676,174
OUDENAARDE,30248,68059999,444
RONSE,25403,34481666,737
ZINGEM,7307,23934252,305
BRAKEL,14330,56464201,254
KLUISBERGEN,6446,30381482,212
WORTEGEM-PETEGEM,6275,41957576,150
HOREBEKE,2058,11196762,184
LIERDE,6542,26125759,250
MAARKEDAL,6428,45626240,141
ZWALM,8045,33816982,238
BEVEREN,46752,150181287,311
KRUIBEKE,16028,33424206,480
LOKEREN,39882,67497380,591
SINT-GILLIS-WAAS,18876,54983068,343
SINT-NIKLAAS,72883,83797137,870
STEKENE,17487,44798290,390
TEMSE,28889,39918703,724
AS,8004,22068324,363
BERINGEN,43661,78296142,558
DIEPENBEEK,18377,41187726,446
GENK,65264,87854574,743
GINGELOM,8245,56492262,146
HALEN,9352,36294788,258
HASSELT,74588,102238796,730
HERK-DE-STAD,12316,42832378,288
LEOPOLDSBURG,15172,22490585,675
LUMMEN,14358,53384345,269
NIEUWERKERKEN,6691,22461067,298
OPGLABBEEK,10162,24979034,407
SINT-TRUIDEN,39747,106897458,372
TESSENDERLO,18107,51351879,353
ZONHOVEN,20887,39339354,531
ZUTENDAAL,7074,32067212,221
HAM,10393,32690247,318
HEUSDEN-ZOLDER,32003,53227096,601
BOCHOLT,12729,59342371,215
BREE,15379,64960155,237
KINROOI,12252,54764596,224
LOMMEL,33409,102374548,326
MAASEIK,24828,76913992,323
NEERPELT,16686,42777761,390
OVERPELT,14400,40847167,353
PEER,16194,86951363,186
HAMONT-ACHEL,14225,43659732,326
HECHTEL-EKSEL,11940,76698629,156
HOUTHALEN-HELCHTEREN,30356,78268805,388
MEEUWEN-GRUITRODE,12960,91261974,142
DILSEN-STOKKEM,19947,65606487,304
ALKEN,11315,28139063,402
BILZEN,31358,75895280,413
BORGLOON,10495,51122832,205
HEERS,7103,53066011,134
HERSTAPPE,87,1354614,64
HOESELT,9588,30021100,319
KORTESSEM,8400,33899609,248
LANAKEN,25599,58995770,434
RIEMST,16265,57876331,281
TONGEREN,30557,87561067,349
WELLEN,7405,26724300,277
MAASMECHELEN,37369,76278583,490
VOEREN,4157,50626962,82
ANDERLECHT,111279,17744118,6271
OUDERGEM,31963,9033439,3538
SINT-AGATHA-BERCHEM,22931,2949556,7774
BRUSSEL,166497,32605926,5106
ETTERBEEK,45502,3149323,14448
EVERE,37009,5018112,7375
VORST,53312,6248132,8532
GANSHOREN,23383,2455219,9524
ELSENE,83425,6344624,13149
JETTE,48805,5043333,9677
KOEKELBERG,20661,1172472,17622
SINT-JANS-MOLENBEEK,93893,5891792,15936
SINT-GILLIS,49492,2524738,19603
SINT-JOOST-TEN-NODE,27134,1142297,23754
SCHAARBEEK,127747,8139966,15694
UKKEL,79610,22909989,3475
WATERMAAL-BOSVOORDE,24303,12933011,1879
SINT-LAMBRECHTS-WOLUWE,51871,7224840,7180
SINT-PIETERS-WOLUWE,40037,8851391,4523
BEAUVECHAIN,6824,38584523,177
BRAINE-L'ALLEUD,38882,52115372,746
BRAINE-LE-CHATEAU,9886,22698011,436
